SUPPCODE,DESC,PRICE1,LSTCST
"TH","TATIANA HONEY TUBE CIGAR","70.99","41.58"
"TR","TATIANA RUM TUBE CIGAR","70.99","40.93"
"SP312","SMOKING BROWN MED 1 1/4 PAPERS","2.00","0.67"
"           10355","GRAINFATHER FLOW WORT CHILLER","1199.99","710.90"
"           10266","GRAINFATHER HP CLEANER 90ML","11.90","5.74"
"           10352","GRAINFATHER HP CLEANER 500G","24.99","9.19"
"           10280","GRAINFATHER SPARGE WTR HEATER","199.99","95.99"
"           55464","TAP SS EZ FILTER BOILPROOF","6.99","3.22"
"           10643","MJ YEAST - BV7 8G","6.99","2.63"
"","BC HEATER REPLACEMENT UNIT","64.99","0.00"
"MH460","ZEN ROLLING MACHINE KS","9.50","3.00"
"","HOSE TO SUIT SHISHA","12.50","2.51"
"P636","VAPORITE EMERALD SPARE ELEMENT","24.99","10.87"
"P627","CLOUD VAPE TORNADO ATOMISER","34.99","12.47"
"H928","HERITAGE RICH PORT MIX 125ML","9.50","5.00"
"H137","25ML GLASS TRIAL JAR","8.50","3.40"
"H138","50ML GLASS TRIAL JAR","10.50","4.20"
"BM151","STERILOCK ODOUR CAPSULE","10.00","4.50"
"   4006396080110","MANITOU ORGANIC 20","50.50","35.69"
"           50139","SS EXPRESS TURBO YEAST 250G","12.99","4.98"
"ZIP205","ZIPPO SATIN CHROME","69.99","28.96"
"ZIP218ZB","ZIPPO BLACK WITH BORDER","74.99","29.81"
"ZIP21192","ZIPPO RING OF FIRE","69.99","27.24"
"ZIP24892","ZIPPO POLE DANCER","74.99","34.40"
"VNP6A1","HOOKAH 1H $100 CASE 620H","100.00","26.00"
"           40304","CAPPER HAMMER RED","14.99","7.15"
"           40306","CAPPER ITALIAN BLACK MAX BENCH","79.99","36.44"
"           40314","BENCHTOP CAPPER","99.99","48.64"
"H148","SU SPIRIT HYDROMETER 0-100%","15.90","8.50"
"H159","SU FERMENTING HYDROMETER SG","16.90","8.50"
"H147","SU SPIRIT HYDROMETER 30-70%","15.90","8.50"
"H164","SU BREWING HYDRO BRIX SG %","13.90","6.50"
"           55393","PRECISION ALCOMETER 0%-50%","36.99","18.90"
"           55370","SS ALCOMETER TRALLES 0-100%","19.99","9.85"
"    814859010703","SCALES AWS CD LRG 100G X 0.01G","69.99","10.00"
"P687","TITAN SPARE MOUTHPIECE","10.00","2.61"
"","HIP FLASK GIFT SET $39.99","39.99","10.95"
"          615975","HIP FLASK 21ST GIFT SET","29.99","9.56"
"          615970","6OZ HIP FLASK COLOURED","14.99","5.20"
"          616047","8OZ HIP FLASK CAMO","19.99","5.56"
"HIP7P","7OZ HIP FLASK ASST.","19.99","8.00"
"HA102","TONGS FOR SHISHA LRG","7.50","2.63"
"           99407","NAUGHTY CHECKERS","19.99","10.00"
"","TONGS FOR SHISHA SML","5.00","1.00"
"","BRUSH LRG PIPE CLEANER","6.50","2.25"
"HL2GREEN","HEMPLIGHT LIGHTER CASE","9.99","4.00"
"HL8REFILL","HEMPLIGHT WICK","5.50","2.50"
"           10423","MJ WORKINGMANS STOUT POUCH","30.99","17.26"
"           40537","ROASTED BARLEY MALT GRAIN 1KG","15.50","8.04"
"           10416","MJ INT TYNESIDE BROWN ALE","26.99","12.22"
"           10424","MJ TRAD SERIES BROWN ALE POUCH","28.99","13.14"
"           50199","SS CLASSIC 6 TURBO YEAST 130G","11.99","2.34"
"           30145","SS TS CHERRY BOURBON 50ML","11.99","6.11"
"           30166","SS CL SPICED GOLD RUM LRG","17.99","7.92"
"           31165","SS CL SINGLE MALT WHISKEY 1LT","8.50","3.88"
"           31150","SS CLASS HI WHISKEY SACHET 1L","7.50","3.35"
"           30157","SS CL TENNESSEE BOURBON 1LT","17.99","7.92"
"           31159","SS CALYPSO DARK RUM SACHET","7.50","3.35"
"           31153","SS CL DARK NAVY RUM 1LT","7.50","3.35"
"           31157","SS CL TENESSEE BOURBON LRG","16.00","3.35"
"           31151","SS CL GIN SACHET 1LT","7.50","3.35"
"           31158","SS FINEST RESERVE SCOTCH SACHE","7.50","3.35"
"F06E108A00","GIANT FAMILY HAND/FIST","99.99","30.00"
"          958203","CARDS","4.99","1.16"
"          616050","HIP FLASK KIWIANA GIFT SET","34.99","10.36"
"          617735","CHARGER USB A&C CAR","14.99","6.51"
"MO308","GRINDER SHARPSTONE SILVER","50.00","19.50"
"INNOKIN-ENDURA","INNOKIN ENDURA T18II KIT","59.99","34.74"
"F06F080B","ROGUE 7.5' DONG","57.99","15.00"
"","PASSIONATE GIRL SUCKER STRING","4.99","1.75"
